,Iphone_Name,Rate,RAM
0,"APPLE iPhone 11 (White, 64 GB)","₹43,999",64 GB ROM
1,"APPLE iPhone 11 (Purple, 128 GB)","₹48,999",128 GB ROM
2,"APPLE iPhone 11 (Black, 128 GB)","₹48,999",128 GB ROM
3,"APPLE iPhone 11 (White, 128 GB)","₹48,999",128 GB ROM
4,"APPLE iPhone 11 (Purple, 64 GB)","₹43,999",64 GB ROM
5,"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900",128 GB ROM
6,"APPLE iPhone 11 (Black, 64 GB)","₹43,999",64 GB ROM
7,"APPLE iPhone 12 (Green, 128 GB)","₹61,999",128 GB ROM
8,"APPLE iPhone SE (Red, 128 GB)","₹34,999",128 GB ROM
9,"APPLE iPhone 13 (Pink, 128 GB)","₹74,900",128 GB ROM
10,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900",128 GB ROM
11,"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900",128 GB ROM
12,"APPLE iPhone 13 (Blue, 128 GB)","₹74,900",128 GB ROM
13,"APPLE iPhone 12 Mini (Red, 64 GB)","₹49,999",64 GB ROM
14,"APPLE iPhone SE (Red, 64 GB)","₹29,999",64 GB ROM
15,"APPLE iPhone 11 (Red, 128 GB)","₹48,999",128 GB ROM
16,"APPLE iPhone 12 (Black, 128 GB)","₹61,999",128 GB ROM
17,"APPLE iPhone 11 (Red, 64 GB)","₹43,999",64 GB ROM
18,"APPLE iPhone 11 (Green, 128 GB)","₹48,999",128 GB ROM
19,"APPLE iPhone 13 Mini (Blue, 128 GB)","₹64,999",128 GB ROM
20,"APPLE iPhone 12 (White, 128 GB)","₹61,999",128 GB ROM
21,"APPLE iPhone 12 (Purple, 128 GB)","₹61,999",128 GB ROM
22,"APPLE iPhone 12 (Blue, 128 GB)","₹61,999",128 GB ROM
23,"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹41,900",64 GB ROM
